Urban area,State,Population,Housing,Land area (square miles)
Lago Vista (Travis County), TX,"8,463","4,303",8.4
LaGrange, GA,"35,420","14,996",31.5
Lahaina_Napili_Honokowai, HI,"21,398","11,642",5.3
Laie_Hauula, HI,"12,488","3,443",3.4
Lake Bryant, FL,"3,632","2,123",3
Lake Charles, LA,"162,501","71,250",127.7
Lake City, FL,"25,334","11,058",28.6
Lake City, MN,"4,912","2,634",2.8
Lake City, SC,"6,915","3,161",5.5
Lake Conroe Eastshore, TX,"12,188","5,755",7.7
Lake Conroe Westshore, TX,"29,322","14,134",19.3
Lake Delton, WI,"6,546","3,722",9.4
Lake Erie Beach, NY,"7,643","4,254",7.7
Lake Geneva, WI,"10,955","6,168",6.3
Lake Havasu City, AZ,"59,017","36,876",33.8
Lake Holiday, IL,"7,313","3,211",4.3
Lake Isabella, CA,"3,698","2,116",2.5
Lake Jackson, TX,"56,054","24,765",34.3
Lake Mills, WI,"6,857","3,262",4.1
Lake Mohawk, NJ,"13,164","5,460",8.2
Lake Monticello, VA,"9,825","4,320",6.3
Lake of the Pines, CA,"4,261","2,030",2.3
Lake of the Woods, VA,"10,902","4,840",7
Lake Placid, FL,"17,816","10,793",23.6
Lake Placid, NY,"3,486","2,869",3.5
Lake Pocotopaug, CT,"7,622","3,617",7.7
Lake Royale, NC,"2,942","2,237",3.2
Lakeland, FL,"277,915","116,354",145.9
Lakeport, CA,"8,994","4,352",6.2
Lakes of the Four Seasons, IN,"13,113","4,794",5.4
Lamar, CO,"7,502","3,386",4.3
Lambertville, NJ_PA,"10,167","5,234",5.6
Lamesa, TX,"8,731","3,952",4.3
Lamont, CA,"15,271","4,112",2.8
Lampasas, TX,"6,674","3,004",3.9
Lancaster, OH,"43,576","19,625",20.1
Lancaster, SC,"22,709","10,207",22.4
Lancaster_Manheim, PA,"394,530","162,561",181.5
Lander, WY,"6,977","3,216",3
Landrum_Tryon, SC_NC,"4,518","2,594",5.4
Lansing, MI,"318,300","143,060",155.8
Lapeer, MI,"12,402","5,383",8.8
Laplace_Lutcher_Gramercy, LA,"48,681","20,059",30.8
Laramie, WY,"32,261","15,450",15.2
Laredo, TX,"251,462","79,974",64.2
Lares, PR,"28,615","13,312",30.1
Larned, KS,"3,734","2,087",2.1
Las Cruces, NM,"139,338","60,572",64.5
Las Vegas, NM,"14,530","7,337",7
Las Vegas_Henderson_Paradise, NV,"2,196,623","884,138",435.3
Laughlin, NV,"6,579","4,162",1.5
Laurel, MS,"25,201","10,428",20.2
Laurel, MT,"8,789","3,736",5.9
Laurens, SC,"11,331","5,255",9.7
Laurinburg, NC,"16,225","7,385",13.1
Lawrence, KS,"94,998","43,472",29.9
Lawrenceburg, KY,"13,543","5,697",6.6
Lawrenceburg, TN,"11,679","5,267",9.7
Lawrenceville, IL,"4,632","2,317",2.6
Lawton, OK,"87,464","40,042",46.8
Le Mars, IA,"10,138","4,347",5.5
Le Roy, NY,"4,645","2,223",3
Lead, SD,"4,122","2,568",3.9
Leadville, CO,"4,538","2,606",2.5
Leavenworth, KS,"47,570","17,963",21.7
Lebanon, IN,"16,466","7,511",8.4
Lebanon, KY,"6,209","2,783",4.9
Lebanon, MO,"14,710","6,729",12.4
Lebanon, NH_VT,"30,299","13,383",30.2
Lebanon, OR,"22,327","9,125",8.5
Lebanon, PA,"75,485","31,685",32.7
Lebanon, TN,"36,678","15,426",30.3
Lee, MA,"8,119","5,415",12.6
Lee's Summit, MO,"91,960","36,767",37.6
Leesburg_Eustis_Tavares, FL,"151,523","75,939",86.1
Leesville, LA,"8,328","4,376",6.9
Lehighton_Palmerton_Jim Thorpe, PA,"18,503","8,782",9.9
Leisuretowne, NJ,"5,294","2,953",3.3
Leitchfield, KY,"6,488","2,981",5.5
Lemoore Station, CA,"6,568","1,799",5.1
Lemoore, CA,"26,957","9,514",6.7
Leominster_Fitchburg, MA,"111,790","48,267",52.9
Leonardtown, MD,"6,092","2,397",6.2
Levelland, TX,"12,601","5,391",6.4
Lewes_Rehoboth Beach, DE,"39,681","33,284",38.3
Lewisburg, TN,"11,934","5,207",9.4
Lewisburg, WV,"7,227","3,856",7
Lewiston, ID_WA,"54,798","24,031",27.9
Lewiston, ME,"60,743","27,496",31.4
Lewistown, MT,"6,024","3,182",2.9
Lewistown, PA,"20,999","10,313",12
Lexington Park_California_Chesapeake Ranch Estates, MD,"62,352","26,209",46.7
Lexington, NE,"10,438","3,545",4.7
Lexington, TN,"6,357","3,086",6.7
Lexington, VA,"9,460","3,499",5.3
Lexington_Fayette, KY,"315,631","143,074",84
Libby, MT,"4,341","2,194",3.5
Liberal, KS,"19,843","7,399",10.6
Liberty, NY,"5,284","2,472",3.1
Liberty, TX,"6,387","2,607",5.4
Lihue, HI,"15,885","5,538",7
Lima, OH,"68,630","31,148",48.7
Lincoln Beach, OR,"3,626","3,515",2.9
Lincoln City, OR,"10,494","7,831",6.7
Lincoln, IL,"13,990","6,756",8.1
Lincoln, NE,"291,217","123,888",94.2
Lincoln, NH,"2,005","2,751",4.9
Lincolnton, NC,"22,657","10,130",28.4
Lindale_Hideaway, TX,"11,770","5,046",12.3
Lindsay, CA,"13,942","3,936",2.9
Lindstrom_Chisago City, MN,"9,152","4,161",6.2
Linton, IN,"5,298","2,621",3
Litchfield Beach, SC,"15,225","10,825",17
Litchfield, IL,"6,350","3,053",4.9
Litchfield, MN,"6,569","2,863",3.9
Little Falls, MN,"9,411","4,344",7.4
Little Falls, NY,"4,597","2,513",3.4
Little Rock, AR,"461,864","215,096",267.8
Littlefield, TX,"5,626","2,573",3
Littlestown, PA,"6,442","2,746",3.5
Live Oak (Sutter County), CA,"9,080","2,847",1.7
Live Oak, FL,"6,668","2,751",5.3
Livermore_Pleasanton_Dublin, CA,"240,381","86,809",65.3
Livingston, CA,"14,255","3,734",2.6
Livingston, MT,"9,350","4,752",4.5
Livingston, TX,"5,592","2,377",6.9
Lock Haven, PA,"14,625","6,807",7.9
Lockhart, TX,"12,886","5,022",8.3
Lockport, NY,"35,958","17,025",17.7
Lodi, CA,"73,090","27,282",16.3
Logan, OH,"8,209","3,671",4.3
Logan, UT,"113,927","37,528",47.7
Logan, WV,"8,821","4,389",6.4
Logansport, IN,"20,374","8,712",10.5
Loíza_Vieques (Loíza Municipio), PR,"15,763","8,518",4.4
Lompoc, CA,"54,287","18,212",9.8
London, OH,"10,259","4,447",5.1
London_Corbin, KY,"36,861","16,540",47.9
Long Beach, WA,"3,252","2,613",2.9
Long Neck, DE,"20,169","14,343",22
Longmont, CO,"100,776","42,509",24.2
Longview, TX,"107,099","45,766",90.3
Longview, WA_OR,"69,841","29,459",35.2
Lorain_Elyria, OH,"199,067","91,234",90.6
Los Alamos, NM,"13,283","6,086",8.5
Los Angeles_Long Beach_Anaheim, CA,"12,237,376","4,354,341",1636.8
Los Banos, CA,"45,533","13,193",8.4
Los Lunas, NM,"53,365","21,248",39.4
Los Osos, CA,"13,978","6,341",3.8
Louisa, KY_WV,"4,582","2,114",3.6
Louisville/Jefferson County, KY_IN,"974,397","438,588",400.9
Lovington, NM,"11,765","4,266",4.8
Lowell, IN,"10,747","4,239",5.3
Lowell, MI,"7,530","3,121",5.6
Lubbock, TX,"272,280","116,963",106.3
Ludington, MI,"11,883","7,235",12.7
Lufkin, TX,"41,551","17,728",36.7
Luling, TX,"5,391","2,218",2.8
Lumberton, NC,"22,256","10,432",20.4
Luray, VA,"4,742","2,225",4.1
Luverne, MN,"4,808","2,199",2.3
Lynchburg, VA,"125,596","54,093",91.6
Lynden, WA,"15,995","6,246",5.3
Macclenny, FL,"10,881","3,897",8.5
Macomb, IL,"15,656","8,002",8.7
Macon, MO,"5,359","2,639",5.1
Macon_Bibb County, GA,"140,111","65,107",99.3
Madera, CA,"81,635","22,331",21
Madison, GA,"4,709","2,088",4.8
Madison, IN,"17,447","7,992",10.8
Madison, SD,"6,169","2,931",4.3
Madison, WI,"450,305","203,337",149.7
Madisonville, KY,"21,328","10,394",16.1
Madisonville, TN,"6,070","2,687",7.2
Madras, OR,"8,087","3,131",4.7
Magalia, CA,"6,900","3,039",5.9
Magnolia, AR,"10,403","4,483",8.8
Mahanoy City, PA,"3,720","2,318",0.8
Mahomet, IL,"11,922","4,713",6.9
Malone, NY,"6,885","2,992",3.5
Malvern, AR,"8,833","4,218",6.7
Mammoth Lakes, CA,"7,045","9,174",3.8
Manchester, IA,"4,913","2,313",3.6
Manchester, NH,"163,289","69,559",80.6
Manchester, TN,"12,953","5,512",10.4
Mandeville_Covington, LA,"113,763","47,372",84.3
Manhattan, IL,"7,826","2,774",2.9
Manhattan, KS,"60,454","27,064",25.8
Manistee, MI,"8,093","4,590",9.1
Manitowoc, WI,"46,558","22,208",23.5
Mankato, MN,"60,206","25,620",25.6
Manning, SC,"4,522","2,132",3.9
Manor, TX,"17,006","5,733",5.3
Mansfield, LA,"5,602","2,620",4.1
Mansfield, OH,"73,545","33,119",47.7
Manteca, CA,"86,674","28,725",20.5
Manteno, IL,"10,437","4,475",6
Manteo, NC,"6,070","3,300",5.3
Maquoketa, IA,"6,098","2,884",3.8
Marana, AZ,"10,618","3,623",3.3
Marathon, FL,"9,733","6,963",5.5
Marble Falls, TX,"7,953","3,692",5.5
Marengo, IL,"7,509","3,066",3.8
Marianna, FL,"5,560","2,724",4.3
Maricopa, AZ,"57,771","20,897",13.2
Marietta, OH_WV,"21,723","10,388",13.6
Marinette_Menominee, WI_MI,"23,551","12,010",14.8
Marion Oaks, FL,"19,077","7,620",16.3
Marion, IN,"40,961","19,146",21.9
Marion, NC,"12,031","5,734",13.6
Marion, OH,"42,688","17,864",18.4
Marion, SC,"7,009","3,307",5.4
Marion, VA,"7,281","3,707",7.2
Marion_Herrin, IL,"39,391","19,639",33
Marksville, LA,"6,682","3,058",6.4
Marlin, TX,"5,396","2,430",4.1
Marquette, MI,"24,682","11,592",12.7
Marseilles, IL,"4,660","2,212",2.4
Marshall, MI,"7,471","3,633",4.6
Marshall, MN,"13,508","5,939",8.3
Marshall, MO,"13,471","5,261",6.8
Marshall, TX,"21,387","8,991",16.2
Marshalltown, IA,"27,381","11,219",12.1
Marshfield, MO,"7,537","3,204",5.3
Marshfield, WI,"19,462","9,721",11.3
Martin, TN,"10,518","4,580",8
Martinsville, IN,"12,556","5,560",6.2
Martinsville, VA,"31,273","15,866",39.8
Marysville, OH,"25,674","9,395",11.6
Marysville, WA,"160,440","58,939",67.8
Maryville, MO,"11,212","5,175",5.6
Mascoutah, IL,"8,528","3,354",3.2
Mason City, IA,"25,954","13,118",14.7
Massena, NY,"10,582","5,144",6.2
Mathis, TX,"5,253","2,306",3.2
Mattawan, MI,"5,721","2,197",6.3
Mattoon, IL,"17,111","8,711",8.3
Mauldin_Simpsonville, SC,"159,506","64,676",101.2
Mayagüez, PR,"91,583","49,990",50.1
Mayfield, KY,"12,256","5,494",9.4
Mayodan, NC,"4,627","2,554",4.6
Maysville, KY_OH,"9,799","5,071",9
Maytown_Marietta, PA,"7,737","3,179",3.1
Mayville, WI,"5,189","2,386",2.7
McAlester, OK,"19,542","8,932",15.5
McAllen, TX,"779,553","269,683",326.2
McCall, ID,"3,695","4,331",6
McComb, MS,"15,327","7,396",13.1
McCook, NE,"7,395","3,670",5.2
McFarland, CA,"14,149","3,410",1.9
McGregor, TX,"5,139","1,981",2.3
McHenry Northwest_Wonder Lake, IL,"5,758","2,622",2.3
McKenzie, TN,"5,360","2,305",4.4
McKinleyville, CA,"14,981","6,655",7.9
McKinney_Frisco, TX,"504,803","181,086",151.6
McMinnville, OR,"41,831","15,738",12.8
McMinnville, TN,"15,711","7,255",13.2
McPherson, KS,"14,039","6,202",8.6
Meadville, PA,"20,652","9,614",15.8
Mecca, CA,"6,875","1,669",0.6
Mechanicville, NY,"11,799","5,504",6.5
Medford, OR,"171,640","73,280",63
Medford, WI,"4,114","2,047",3
Medina, NY,"6,279","2,930",3.1
Medina, OH,"46,109","19,272",27.8
Melissa_Anna, TX,"34,516","11,551",16.9
Memphis, TN_MS_AR,"1,056,190","452,043",491.3
Mena, AR,"5,534","2,789",7
Mendota, CA,"13,382","2,875",4.3
Mendota, IL,"6,918","3,043",2.9
Menomonie, WI,"17,022","6,665",10.6
Merced, CA,"150,052","47,917",43.1
Meredith, NH,"3,411","2,391",4.9
Meridian, MS,"33,809","16,621",29.5
Merrill, WI,"9,519","4,573",7.5
Mesquite, NV_AZ,"19,206","10,498",10
Metropolis, IL,"5,925","3,004",3
Mexia, TX,"6,661","2,695",4.5
Mexico, MO,"11,351","5,198",6.7
Miami, OK,"15,348","6,901",9.2
Miami_Fort Lauderdale, FL,"6,077,522","2,622,231",1244.2
Michigan City_La Porte, IN_MI,"71,367","37,009",49.2
Middlebury, VT,"6,154","1,939",4.4
Middleport, OH_WV,"5,814","3,047",5.5
Middlesborough, KY_TN,"13,628","6,579",11.8
Middleton, ID,"10,265","3,418",4.5
Middletown, DE,"41,851","14,796",24.2
Middletown, NY,"61,516","24,531",26
Middletown, OH,"93,608","37,928",53.6
Midland, MI,"52,340","23,885",38.1
Midland, TX,"141,997","59,089",68.3
Midlothian, TX,"30,908","10,511",24.7
Milan, MI,"7,861","2,674",3.4
Milan, TN,"7,578","3,420",6
Miles City, MT,"9,227","4,518",4.6
Milford, DE,"17,754","7,450",12
Milledgeville, GA,"22,441","10,341",19.8
Millersburg, PA,"4,375","2,147",1.9
Millington, TN,"12,918","5,625",12.7
Millinocket, ME,"3,812","2,360",3.3
Millsboro, DE,"9,844","4,574",6.6
Milton, PA,"28,610","12,335",17.9
Milton, VT,"6,417","2,701",5.5
Milton_Freewater, OR,"8,131","3,205",3.3
Milwaukee, WI,"1,306,795","582,330",463.7
Minden, LA,"12,659","6,136",12.9
Mineola, TX,"5,699","2,495",5.7
Mineral Wells, TX,"14,211","5,987",8.9
Minneapolis_St. Paul, MN,"2,914,866","1,198,573",1014.8
Minot, ND,"50,925","24,508",26.7
Minster_New Bremen, OH,"6,138","2,459",4.2
Mission Viejo_Lake Forest_Laguna Niguel, CA,"646,843","261,622",163.6
Missoula, MT,"88,109","41,026",44.3
Mitchell, SD,"15,690","7,698",9.1
Moab, UT,"7,933","4,167",6.6
Moberly, MO,"12,163","5,797",11.4
Mobile, AL,"321,907","145,122",220.7
Mocksville, NC,"5,971","2,594",6.4
Modesto, CA,"357,301","117,353",70.4
Molalla, OR,"10,258","3,736",2.5
Monahans, TX,"9,162","4,019",7.3
Monessen, PA,"49,962","25,911",33
Monett, MO,"9,391","3,860",5.8
Monmouth, IL,"9,189","3,890",4.2
Monmouth_Independence, OR,"20,912","7,434",4.9
Monroe, GA,"16,650","6,755",13.1
Monroe, LA,"119,964","53,099",91
Monroe, MI,"57,260","24,843",35.3
Monroe, WA,"24,635","8,004",11.5
Monroe, WI,"10,725","5,149",4.4
Monroeville, AL,"4,284","2,229",4.9
Mont Belvieu, TX,"12,180","4,061",10.8
Montauk, NY,"3,845","3,811",5.9
Montesano_Elma, WA,"12,682","5,360",10
Montevallo, AL,"6,438","2,579",5.1
Montevideo, MN,"5,391","2,478",4.1
Montgomery, AL,"254,348","115,435",145.1
Monticello, AR,"7,974","3,906",7.8
Monticello, IL,"5,985","2,605",3.9
Monticello, IN,"10,635","7,338",13.1
Monticello, KY,"6,681","2,958",6.5
Monticello, MN,"15,760","6,112",8.7
Monticello, NY,"14,328","7,407",9.9
Montrose, CO,"24,513","11,114",19.5
Montrose, MN,"5,539","2,102",2.8
Morehead City_Emerald Isle_Atlantic Beach, NC,"44,300","37,416",46.9
Morehead, KY,"9,375","3,651",8.1
Morgan City, LA,"30,236","13,561",19.7
Morgantown, WV,"77,620","37,959",40.7
Morrilton, AR,"6,340","3,020",5.7
Morris, IL,"15,740","6,956",8.6
Morris, MN,"5,030","2,297",3.4
Morristown, TN,"66,539","28,535",63.9
Morro Bay, CA,"13,163","9,002",5.3
Moscow, ID,"25,914","11,301",6.4
Moses Lake, WA,"38,751","15,228",27.7
Moultrie, GA,"19,217","8,379",19.3
Moundsville, WV,"11,398","5,613",4.5
Mount Airy, NC,"17,354","8,544",20.3
Mount Carmel, IL,"6,963","3,435",4.3
Mount Horeb, WI,"7,730","3,116",3
Mount Pleasant, IA,"9,284","3,508",6.9
Mount Pleasant, MI,"30,738","13,793",14.8
Mount Pleasant, TX,"15,419","5,636",12.7
Mount Plymouth, FL,"6,165","2,378",4
Mount Shasta, CA,"5,203","3,032",6
Mount Sterling, KY,"13,920","6,211",11.7
Mount Vernon, IA,"6,509","2,322",3.4
Mount Vernon, IL,"15,288","7,686",12.8
Mount Vernon, IN,"6,715","3,164",4.8
Mount Vernon, OH,"18,993","8,460",9.5
Mount Vernon, WA,"66,825","25,909",30.7
Mount Washington, KY,"21,516","8,377",13
Mountain Grove, MO,"4,219","2,207",3.2
Mountain Home, AR,"17,783","9,114",16.1
Mountain Home, ID,"17,799","7,378",6.6
Mountain Lake Park, MD,"4,548","2,223",4.4
Mountain Top, PA,"10,520","4,210",10.2
Mukwonago, WI,"15,287","6,230",15.8
Muleshoe, TX,"5,159","1,944",2.7
Mullins, SC,"4,924","2,532",4
Muncie, IN,"84,382","39,372",48.2
Muncy, PA,"7,544","3,578",5
Munds Park, AZ,773,"2,140",1.2
Murfreesboro, TN,"177,313","71,867",86.1
Murray, KY,"18,958","8,635",11.8
Muscatine, IA,"25,144","10,949",16
Muskegon_Norton Shores, MI,"166,414","72,854",112.1
Muskogee, OK,"35,798","16,883",30.6
Myrtle Beach_North Myrtle Beach, SC_NC,"298,954","193,144",218.9
Mystic Island_Little Egg Harbor, NJ,"23,074","12,466",13
Nacogdoches, TX,"33,732","14,961",25
Nampa, ID,"177,561","62,411",65.9
Nantucket, MA,"12,011","8,520",11.7
Napa, CA,"84,619","33,898",20.3
Napoleon, OH,"8,868","4,104",6.2
Nappanee, IN,"7,250","3,058",4.3
Nashua, NH_MA,"242,984","99,686",195.6
Nashville, GA,"4,844","2,135",3.6
Nashville_Davidson, TN,"1,158,642","496,886",585
Natchez, MS_LA,"25,902","13,183",22.4
Natchitoches, LA,"18,935","8,777",11.1
Navarre_Miramar Beach_Destin, FL,"226,213","121,681",119.6
Navasota, TX,"7,458","3,021",7.1
Nebraska City, NE,"7,020","3,090",4.2
Needles, CA_AZ,"6,739","3,911",5.6
Nelsonville, OH,"4,709","2,536",3.1
Neosho, MO,"12,580","5,231",9.8
Nephi, UT,"6,330","2,117",3.5
Nevada, IA,"6,881","3,111",3.7
Nevada, MO,"8,529","4,054",6.1
New Albany, MS,"6,763","3,134",8.2
New Bedford, MA,"155,491","68,020",59.3
New Bern, NC,"47,988","23,605",41.3
New Boston, TX,"4,502","2,138",3.7
New Braunfels, TX,"100,736","41,658",50.4
New Carlisle, OH,"5,507","2,331",1.5
New Castle, CO,"5,844","2,228",2.2
New Castle, IN,"18,555","9,020",7.7
New Castle, PA,"40,243","19,179",28.6
New Freedom_Shrewsbury, PA,"12,094","4,942",6.1
New Haven, CT,"561,456","245,569",298
New Iberia, LA,"37,897","17,163",24.8
New Lexington, OH,"4,602","2,039",2.2
New London, WI,"7,804","3,535",4.6
New Martinsville, WV_OH,"5,608","2,872",3.9
New Orleans, LA,"914,531","421,006",239.5
New Paltz, NY,"9,969","3,483",4.9
New Philadelphia_Dover, OH,"46,776","21,186",23.8
New Prague, MN,"8,156","3,187",3.3
New Richmond, WI,"9,486","4,114",4.6
New Roads, LA,"6,794","4,010",7.3
New Tazewell_Tazewell, TN,"5,374","2,509",6.7
New Ulm, MN,"13,435","6,091",5.8
New York_Jersey City_Newark, NY_NJ,"19,426,449","7,657,903",3248.1
Newark, NY,"13,568","6,590",8.8
Newark, OH,"81,223","36,427",44.1
Newberg, OR,"30,893","11,645",10.7
Newberry, SC,"12,342","5,409",10.4
Newman, CA,"12,387","3,751",2.1
Newport, AR,"5,947","2,933",4.6
Newport, OR,"11,731","6,668",9.4
Newport, TN,"11,576","5,520",9.9
Newton Falls, OH,"6,604","3,344",4.5
Newton, IA,"15,943","7,446",7.1
Newton, KS,"20,378","9,015",11.4
Newton, NJ,"12,813","5,530",7.9
Nice, CA,"8,555","5,133",3.8
Nicholasville, KY,"31,434","12,546",12
Nipomo, CA,"20,303","7,868",10.2
Nogales, AZ,"19,168","7,334",12.7
Norfolk, NE,"27,407","11,803",12.8
Norman, OK,"120,191","52,761",46
North Adams, MA,"25,432","12,564",16.1
North Bend, WA,"11,762","4,626",5.6
North Branch, MN,"6,368","2,530",4.3
North East, PA,"6,513","3,010",3.5
North Manchester, IN,"5,188","2,388",2.8
North Platte, NE,"23,582","11,414",13
North Vernon, IN,"6,936","3,113",5.1
North Windham, ME,"10,271","5,183",14
Northfield, MN,"22,686","7,644",8.9
Norwalk, OH,"19,269","8,722",9.9
Norwich, NY,"7,740","3,844",3
Norwich_New London, CT,"167,432","77,980",116.7
Oak Harbor, WA,"37,449","15,291",23.7
Oak Island, NC,"15,592","14,603",15.4
Oak Ridge, NJ,"8,871","3,546",5.4
Oakdale, CA,"25,408","9,353",7.4
Oakdale, LA,"6,700","2,428",4.8
Oakland, TN,"9,389","3,816",7.9
Oberlin, OH,"8,176","2,886",2.9
Ocala, FL,"182,647","83,908",125
Ocean Park, WA,"5,411","5,642",9
Ocean Pines_Ocean City, MD_DE,"37,946","53,372",28.8
Ocean Shores, WA,"6,766","5,609",8.4
Ocean View, DE,"18,025","22,598",23.5
Odessa, MO,"5,529","2,300",2.8
Odessa, TX,"154,818","63,127",86
Oelwein, IA,"6,585","3,342",4.8
Ogallala, NE,"4,721","2,399",3.3
Ogden_Layton, UT,"608,857","203,545",212.6
Ogdensburg, NY,"10,246","4,363",4.9
Oil City, PA,"13,666","6,955",8.5
Okeechobee_Taylor Creek, FL,"26,670","14,345",23.9
Oklahoma City, OK,"982,276","426,593",421.7
Okmulgee, OK,"11,016","5,118",7.4
Olean, NY,"21,144","9,929",13.2
Olney, IL,"8,642","4,154",6.1
Olympia_Lacey, WA,"208,157","87,925",106.2
Omaha, NE_IA,"819,508","337,786",270.8
Omak, WA,"8,165","3,682",6
Oneida, NY,"12,481","6,046",6.3
Oneonta, AL,"5,624","2,285",4.4
Oneonta, NY,"16,028","6,335",7.1
Ontario_Payette, OR_ID,"27,806","10,959",13.9
Opelousas, LA,"23,498","10,611",18.6
Opp, AL,"5,325","2,495",5.2
Orange City, IA,"7,093","2,585",4.2
Orange Cove, CA,"9,716","2,502",1.7
Orange, TX,"40,796","18,518",36.7
Orange, VA,"4,802","2,149",2.9
Orangeburg, SC,"29,072","13,791",26.6
Orangetree, FL,"9,791","3,432",9.3
Oregon, WI,"11,551","4,598",4.5
Orland, CA,"9,422","3,394",4.5
Orlando, FL,"1,853,896","746,578",644.6
Oronoko_Berrien Springs, MI,"6,725","2,710",3.7
Orosi, CA,"12,795","3,262",2
Oroville, CA,"40,190","15,681",26.4
Orrville, OH,"8,703","3,866",5.4
Osage Beach, MO,"6,668","7,785",13.3
Osceola, AR,"6,244","2,963",4.4
Osceola, IA,"5,283","2,297",3.7
Oscoda_Au Sable, MI,"8,558","7,258",18.6
Oshkosh, WI,"76,190","33,084",32.8
Oskaloosa, IA,"12,541","5,642",8.2
Oswego, NY,"24,421","10,237",11.3
Othello, WA,"10,865","3,219",4.6
Otsego_Plainwell, MI,"11,819","5,043",8.4
Ottawa, IL,"20,122","9,667",10
Ottawa, KS,"12,461","5,475",6.3
Ottawa, OH,"5,418","2,357",4.8
Ottumwa, IA,"25,019","11,060",12.8
Owatonna, MN,"26,278","11,106",12.5
Owego, NY,"4,365","2,213",3.2
Owensboro, KY,"76,433","33,308",36.4
Owosso, MI,"22,329","10,344",13.6
Oxford, MS,"33,518","17,650",24.3
Oxford, NC,"8,925","4,062",6.7
Oxford, OH,"23,221","7,262",7.2
Oxford, PA,"9,925","3,795",6.6
Oxnard_San Buenaventura (Ventura), CA,"376,117","125,620",76.6
Ozark, AL,"12,218","5,829",16.7
Pacific, MO,"8,522","3,800",6.2
Paducah, KY_IL,"50,833","24,494",41.4
Page, AZ,"7,022","2,799",7.2
Pagosa Springs, CO,"5,632","4,096",6.2
Pahokee, FL,"6,683","2,529",4.1
Pahrump, NV,"37,498","18,442",52.4
Paintsville, KY,"5,717","2,801",4.5
Palatka, FL,"20,032","8,830",18.3
Palestine, TX,"18,615","7,789",15.2
Palm Bay_Melbourne, FL,"510,675","240,941",250.5
Palmdale_Lancaster, CA,"359,559","111,858",84.8
Palmyra, NY,"4,477","2,099",2.4
Palmyra, PA,"3,772","4,385",8.3
Pampa, TX,"16,865","8,413",8.3
Pana, IL,"5,309","2,757",3.4
Panama City_Panama City Beach, FL,"162,060","107,507",119.5
Panther Valley, NJ,"4,279","2,087",2.2
Paola, KS,"5,553","2,538",3.1
Paragould, AR,"25,089","10,612",16.2
Paris, IL,"8,316","4,218",4.9
Paris, KY,"11,269","5,101",5.6
Paris, TN,"10,303","4,999",9.2
Paris, TX,"26,292","12,343",17.5
Park City_Snyderville, UT,"16,168","12,233",14.9
Parker, AZ_CA,"5,329","2,841",4.6
Parkersburg, WV_OH,"62,500","30,935",39.9
Parlier, CA,"14,522","3,841",1.8
Parsons, KS,"9,433","4,715",6.3
Pascagoula_Gautier, MS,"51,454","24,371",38.6
Patterson, CA,"23,660","6,659",4.4
Pauls Valley, OK,"5,608","2,806",3.1
Paw Paw Lake, MI,"7,526","4,106",6.8
Paw Paw, MI,"5,662","2,675",5.6
Paxton, IL,"4,528","2,036",2.1
Payson, AZ,"17,022","9,963",13.9
Payson_Santaquin, UT,"31,132","9,024",9.4
Pea Ridge, AR,"6,026","2,221",3.9
Pearsall, TX,"9,063","3,016",5.4
Pecan Plantation, TX,"6,831","3,229",8.1
Pecos, TX,"13,081","4,232",7.7
Peculiar, MO,"5,564","2,227",4.8
Pell City, AL,"11,500","5,208",14
Pella, IA,"10,160","4,169",7
Pembroke, NC,"5,694","1,682",3.6
Pendleton, OR,"17,488","7,120",10.2
Penn Yan, NY,"8,399","5,941",6.8
Pennsburg_Upper Hanover_East Greenville, PA,"17,239","6,857",8.6
Pensacola, FL_AL,"390,172","184,298",262.5
Peoria, AZ,"19,593","8,526",7.2
Peoria, IL,"259,781","121,278",145.8
Pepperell, MA,"6,103","2,579",5.2
Perry, FL,"6,531","2,945",5.9
Perry, GA,"14,884","6,099",13.8
Perry, IA,"7,628","3,137",2.9
Perry, NY,"4,066","2,385",2.9
Perry, OK,"4,445","2,258",3
Perryton, TX,"8,391","3,580",4
Perryville, MO,"8,062","3,531",5.7
Peru, IN,"12,458","6,126",6.5
Peru_LaSalle, IL,"29,763","14,250",21.5
Petaluma, CA,"65,227","26,392",21
Petoskey, MI,"12,233","8,601",15.4
Philadelphia, MS,"7,114","3,326",7.4
Philadelphia, PA_NJ_DE_MD,"5,696,125","2,377,924",1898.2
Philipsburg, PA,"9,379","3,886",5.1
Phoenix West_Goodyear_Avondale, AZ,"419,946","136,070",127.6
Phoenix_Mesa_Scottsdale, AZ,"3,976,313","1,670,745",1110.5
Picayune, MS,"16,301","7,396",15.6
Pickens, SC,"5,068","2,213",4.7
Pierre, SD,"14,755","7,004",12
Pikeville, KY,"10,710","4,853",10.2
Pine Bluff, AR,"46,683","21,423",44.5
Pinehurst (Montgomery County)_Magnolia, TX,"9,667","3,376",8.7
Pinehurst_Southern Pines, NC,"50,319","25,063",47.6
Pinetop_Lakeside, AZ,"9,393","9,313",14.6
Piqua, OH,"20,890","9,451",9.1
Pittsburg, KS,"23,120","10,721",11.2
Pittsburgh, PA,"1,745,039","831,523",906.6
Pittsfield, MA,"50,720","25,125",30.5
Placerville_Diamond Springs, CA,"23,291","10,402",18.8
Plainview, TX,"22,615","9,073",11.8
Platte City, MO,"10,707","4,330",6
